Key,Name,Disaster,Date,Cost,Deaths
1,Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-17,2742.3,7
2,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-11-30,40480.8,1260
3,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-11,2224.4,13
4,Florida Freeze (January 1981),Freeze,1981-01-14,2064.9,0
5,"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-10,1405.2,20
6,"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-16,2204.6,85
7,Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-04,1599.5,33
8,Severe Storms (June 1982),Severe Storm,1982-06-10,1574.2,30
9,Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1983-01-15,4915.4,45
10,Western Storms and Flooding (December 1982-March 1983),Flooding,1983-03-31,4798.7,50
11,Southeast Drought (Summer 1983),Drought,1983-08-31,9514.6,0
12,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-20,9390,21
13,Arizona Flooding (October 1983),Flooding,1983-10-03,1248,14
14,Freeze/Cold Wave (December 1983),Freeze,1983-12-25,6438.3,151
15,"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-04-07,1845.3,80
16,Severe Storms and Hail (June 1984),Severe Storm,1984-06-17,1352,1
17,"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-22,2493.7,150
18,Florida Freeze (January 1985),Freeze,1985-01-22,3576,0
19,Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,1752,89
20,Hurricane Elena (September 1985),Tropical Cyclone,1985-09-03,3775.4,4
21,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-28,2482.9,11
22,Hurricane Juan (October 1985),Tropical Cyclone,1985-10-31,4325.5,63
23,"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11-08,4032,62
