Key,Name,Disaster,Start,End,Cost,Deaths,Count
1,Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,1980-04-17,"$2,742.30 ",7,1
2,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,1980-11-30,"$40,480.80 ",1260,1
3,Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,"$2,224.40 ",13,1
4,Florida Freeze (January 1981),Freeze,1981-01-12,1981-01-14,"$2,064.90 ",0,1
5,"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,1981-05-10,"$1,405.20 ",20,1
6,"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,1982-01-16,"$2,204.60 ",85,1
7,Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,1982-04-04,"$1,599.50 ",33,1
8,Severe Storms (June 1982),Severe Storm,1982-05-31,1982-06-10,"$1,574.20 ",30,1
9,Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,1983-01-15,"$4,915.40 ",45,1
10,Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,1983-03-31,"$4,798.70 ",50,1
11,Southeast Drought (Summer 1983),Drought,1983-06-01,1983-08-31,"$9,514.60 ",0,1
12,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,"$9,390.00 ",21,1
13,Arizona Flooding (October 1983),Flooding,1983-09-29,1983-10-03,"$1,248.00 ",14,1
14,Freeze/Cold Wave (December 1983),Freeze,1983-12-15,1983-12-25,"$6,438.30 ",151,1
15,"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,1984-04-07,"$1,845.30 ",80,1
16,Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,1984-06-17,"$1,352.00 ",1,1
17,"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-19,1985-01-22,"$2,493.70 ",150,1
18,Florida Freeze (January 1985),Freeze,1985-01-20,1985-01-22,"$3,576.00 ",0,1
19,Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,1985-05-31,"$1,752.00 ",89,1
20,Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,"$3,775.40 ",4,1
21,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,"$2,482.90 ",11,1
22,Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,1985-10-31,"$4,325.50 ",63,1
23,"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11-03,1985-11-08,"$4,032.00 ",62,1
24,Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02-14,1986-02-16,"$1,520.60 ",13,1
25,Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06-01,1986-08-31,"$5,176.40 ",100,1
26,Michigan Flooding (September 1986),Flooding,1986-09-10,1986-09-12,"$1,140.00 ",10,1
27,U.S. Drought/Heat Wave (Summer 1988),Drought,1988-06-01,1988-08-31,"$54,210.60 ",454,1
28,Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05-01,1989-05-06,"$1,401.00 ",21,1
29,Northern Plains Drought (Summer-Fall 1989),Drought,1989-06-01,1989-11-30,"$7,778.20 ",0,1
30,Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-26,1989-06-28,"$1,480.10 ",11,1
31,Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-21,1989-09-22,"$22,589.70 ",86,1
32,"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989-12-21,1989-12-26,"$1,693.80 ",100,1
33,Florida Freeze (December 1989),Freeze,1989-12-23,1989-12-25,"$5,180.00 ",10,1
34,Southern Flooding (May 1990),Flooding,1990-05-11,1990-05-19,"$2,446.70 ",13,1
