Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost (Millions),Unadjusted Cost (Millions),Deaths,,,,,,Filtering 40 billion +
Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,1980-04-17,"$2,742.3",$706.8,7,,,,,,2742.3
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,1980-11-30,"$40,480.8","$10,020.0",1260,,,,,,
Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,1980-08-11,"$2,224.4",$590.0,13,,,,,,2224.4
Florida Freeze (January 1981),Freeze,1981-01-12,1981-01-14,"$2,064.9",$572.0,0,,,,,,2064.9
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,1981-05-10,"$1,405.2",$401.4,20,,,,,,1405.2
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,1982-01-16,"$2,204.6",$662.0,85,,,,,,2204.6
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,1982-04-04,"$1,599.5",$483.2,33,,,,,,1599.5
Severe Storms (June 1982),Severe Storm,1982-05-31,1982-06-10,"$1,574.2",$479.9,30,,,,,,1574.2
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,1983-01-15,"$4,915.4","$1,536.1",45,,,,,,4915.4
Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,1983-03-31,"$4,798.7","$1,499.6",50,,,,,,4798.7
Southeast Drought (Summer 1983),Drought,1983-06-01,1983-08-31,"$9,514.6","$2,964.1",0,,,,,,9514.6
Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,1983-08-20,"$9,390.0","$3,000.0",21,,,,,,9390
Arizona Flooding (October 1983),Flooding,1983-09-29,1983-10-03,"$1,248.0",$400.0,14,,,,,,1248
Freeze/Cold Wave (December 1983),Freeze,1983-12-15,1983-12-25,"$6,438.3","$2,005.8",151,,,,,,6438.3
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,1984-04-07,"$1,845.3",$603.1,80,,,,,,1845.3
Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,1984-06-17,"$1,352.0",$446.2,1,,,,,,1352
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-19,1985-01-22,"$2,493.7",$836.9,150,,,,,,2493.7
Florida Freeze (January 1985),Freeze,1985-01-20,1985-01-22,"$3,576.0","$1,200.0",0,,,,,,3576
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,1985-05-31,"$1,752.0",$600.0,89,,,,,,1752
Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,1985-09-03,"$3,775.4","$1,297.4",4,,,,,,3775.4
Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,1985-09-28,"$2,482.9",$856.1,11,,,,,,2482.9
Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,1985-10-31,"$4,325.5","$1,496.7",63,,,,,,4325.5
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11-03,1985-11-08,"$4,032.0","$1,400.0",62,,,,,,4032
Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02-14,1986-02-16,"$1,520.6",$529.8,13,,,,,,1520.6
Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06-01,1986-08-31,"$5,176.4","$1,803.6",100,,,,,,5176.4
Michigan Flooding (September 1986),Flooding,1986-09-10,1986-09-12,"$1,140.0",$400.0,10,,,,,,1140
U.S. Drought/Heat Wave (Summer 1988),Drought,1988-06-01,1988-08-31,"$54,210.6","$20,003.8",454,,,,,,
Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05-01,1989-05-06,"$1,401.0",$551.5,21,,,,,,1401
Northern Plains Drought (Summer-Fall 1989),Drought,1989-06-01,1989-11-30,"$7,778.2","$3,003.2",0,,,,,,7778.2
Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-26,1989-06-28,"$1,480.1",$585.0,11,,,,,,1480.1
Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-21,1989-09-22,"$22,589.7","$8,999.9",86,,,,,,22589.7
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989-12-21,1989-12-26,"$1,693.8",$680.0,100,,,,,,1693.8
Florida Freeze (December 1989),Freeze,1989-12-23,1989-12-25,"$5,180.0","$2,000.0",10,,,,,,5180
Southern Flooding (May 1990),Flooding,1990-05-11,1990-05-19,"$2,446.7","$1,006.9",13,,,,,,2446.7
Western Fire Season (Summer 1990),Wildfire,1990-06-01,1990-08-31,"$1,709.0",$715.0,17,,,,,,1709
Colorado Hail Storm (July 1990),Severe Storm,1990-07-11,1990-07-11,"$1,976.3",$820.1,0,,,,,,1976.3
California Freeze (December 1990),Freeze,1990-12-18,1990-12-25,"$8,398.0","$3,400.0",0,,,,,,8398
U.S. Drought (Spring-Summer 1991),Drought,1991-03-01,1991-08-31,"$7,009.9","$3,008.5",0,,,,,,7009.9
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991-03-26,1991-03-29,"$1,503.1",$645.0,0,,,,,,1503.1
Hurricane Bob (August 1991),Tropical Cyclone,1991-08-18,1991-08-20,"$3,456.7","$1,502.9",18,,,,,,3456.7
Oakland Firestorm (October 1991),Wildfire,1991-10-01,1991-10-31,"$7,557.0","$3,300.0",25,,,,,,7557
Severe Storms (March 1992),Severe Storm,1992-03-24,1992-03-25,"$1,809.7",$804.3,0,,,,,,1809.7
"Hail, Tornadoes (April 1992)",Severe Storm,1992-04-28,1992-04-29,"$2,147.4",$954.4,0,,,,,,2147.4
"Severe Storms, Hail (June 1992)",Severe Storm,1992-06-19,1992-06-20,"$1,675.5",$748.0,0,,,,,,1675.5
Hurricane Andrew (August 1992),Tropical Cyclone,1992-08-23,1992-08-27,"$60,210.0","$27,000.0",61,,,,,,
Hurricane Iniki (September 1992),Tropical Cyclone,1992-09-11,1992-09-12,"$6,882.0","$3,100.0",7,,,,,,6882
Southeast Severe Weather (November 1992),Severe Storm,1992-11-21,1992-11-23,"$1,452.0",$657.0,26,,,,,,1452
Northeast Winter Storm (December 1992),Winter Storm,1992-12-10,1992-12-13,"$5,487.4","$2,483.0",19,,,,,,5487.4
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,1993-03-11,1993-03-14,"$12,104.1","$5,527.0",270,,,,,,12104.1
Southeast Drought and Heat Wave (Summer 1993),Drought,1993-06-01,1993-08-31,"$2,767.6","$1,258.0",16,,,,,,2767.6
Midwest Flooding (Summer 1993),Flooding,1993-06-27,1993-08-15,"$46,113.9","$20,960.9",48,,,,,,
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,1993-07-08,1993-07-10,"$1,397.5",$644.0,1,,,,,,1397.5
California Wildfires (Fall 1993),Wildfire,1993-09-01,1993-11-30,"$2,962.4","$1,371.5",4,,,,,,2962.4
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1994-01-17,1994-01-20,"$2,236.3","$1,040.0",70,,,,,,2236.3
Southeast Ice Storm (February 1994),Winter Storm,1994-02-08,1994-02-13,"$6,414.5","$2,997.5",9,,,,,,6414.5
Midwest/Plains Tornadoes (April 1994),Severe Storm,1994-04-25,1994-04-27,"$2,098.3",$985.1,3,,,,,,2098.3
Western Fire Season (Summer-Fall 1994),Wildfire,1994-06-01,1994-11-30,"$1,537.0",$725.0,0,,,,,,1537
Tropical Storm Alberto (July 1994),Tropical Cyclone,1994-07-07,1994-07-10,"$2,116.8",$998.5,32,,,,,,2116.8
Texas Flooding (October 1994),Flooding,1994-10-16,1994-10-25,"$2,100.0","$1,000.0",19,,,,,,2100
California Flooding (January-March 1995),Flooding,1995-01-01,1995-03-31,"$5,225.0","$2,500.0",27,,,,,,5225
Texas Hail Storm (April 1995),Severe Storm,1995-04-28,1995-04-28,"$1,190.3",$575.0,0,,,,,,1190.3
South Plains Severe Weather (May 1995),Severe Storm,1995-05-05,1995-05-07,"$11,302.1","$5,486.5",32,,,,,,11302.1
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,1995-07-01,1995-09-30,"$2,017.6",$984.0,872,,,,,,2017.6
Hurricane Erin (August 1995),Tropical Cyclone,1995-08-01,1995-08-07,"$1,742.5",$850.0,6,,,,,,1742.5
Hurricane Marilyn (September 1995),Tropical Cyclone,1995-09-15,1995-09-17,"$4,305.0","$2,100.0",13,,,,,,4305
Hurricane Opal (October 1995),Tropical Cyclone,1995-10-04,1995-10-06,"$9,565.5","$4,689.0",27,,,,,,9565.5
Blizzard/Floods (January 1996),Winter Storm,1996-01-01,1996-01-31,"$6,096.3","$3,003.0",187,,,,,,6096.3
Pacific Northwest Severe Flooding (February 1996),Flooding,1996-02-07,1996-02-12,"$2,046.9","$1,008.3",9,,,,,,2046.9
Southern Plains Drought (Spring-Summer 1996),Drought,1996-03-01,1996-08-31,"$3,636.7","$1,791.5",0,,,,,,3636.7
Hurricane Fran (September 1996),Tropical Cyclone,1996-09-05,1996-09-08,"$9,963.9","$5,007.0",37,,,,,,9963.9
New England Flooding (October 1996),Flooding,1996-10-19,1996-10-22,"$1,345.3",$676.0,1,,,,,,1345.3
West Coast Flooding (December 1996-January 1997),Flooding,1997-01-01,1997-01-11,"$5,943.5","$3,017.0",36,,,,,,5943.5
Northern Plains Flooding (Spring 1997),Flooding,1997-02-03,1997-05-24,"$7,242.7","$3,676.5",11,,,,,,7242.7
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997-02-28,1997-03-05,"$1,925.8",$977.5,67,,,,,,1925.8
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1997-12-01,1998-02-28,"$1,958.8","$1,004.5",132,,,,,,1958.8
Northeast Ice Storm (January 1998),Winter Storm,1998-01-05,1998-01-09,"$2,719.4","$1,401.8",16,,,,,,2719.4
Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998-05-15,1998-05-15,"$3,148.3","$1,631.3",1,,,,,,3148.3
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,1998-05-30,1998-06-02,"$2,197.3","$1,138.4",20,,,,,,2197.3
Southern Drought and Heat Wave (Summer 1998),Drought,1998-06-01,1998-08-31,"$6,844.3","$3,528.0",200,,,,,,6844.3
Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,1998-06-20,1998-06-24,"$1,725.8",$894.0,12,,,,,,1725.8
Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-08,1998-08-13,"$1,344.0",$700.0,2,,,,,,1344
Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-27,1998-08-29,"$1,881.6",$980.0,3,,,,,,1881.6
Hurricane Georges (September 1998),Tropical Cyclone,1998-09-20,1998-09-29,"$11,490.2","$5,984.5",16,,,,,,11490.2
Texas Flooding (October 1998),Flooding,1998-10-16,1998-10-24,"$1,808.8",$942.1,31,,,,,,1808.8
California Freeze (December 1998),Freeze,1998-12-20,1998-12-28,"$4,850.0","$2,500.0",0,,,,,,4850
Central and Eastern Winter Storm (January 1999),Winter Storm,1999-01-01,1999-01-04,"$1,972.1","$1,032.5",25,,,,,,1972.1
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999-01-13,1999-01-16,"$1,684.8",$882.0,0,,,,,,1684.8
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999-05-03,1999-05-06,"$3,802.9","$2,012.1",55,,,,,,3802.9
Eastern Drought/Heat Wave (Summer 1999),Drought,1999-06-01,1999-08-31,"$4,772.8","$2,498.9",502,,,,,,4772.8
Hurricane Floyd (September 1999),Tropical Cyclone,1999-09-14,1999-09-16,"$12,138.1","$6,491.0",77,,,,,,12138.1
Southeast Winter Storm (January 2000),Winter Storm,2000-01-21,2000-01-24,"$1,313.2",$706.0,4,,,,,,1313.2
Western Fire Season (Spring-Summer 2000),Wildfire,2000-03-01,2000-08-31,"$1,967.4","$1,075.0",0,,,,,,1967.4
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000-03-01,2000-11-30,"$9,294.5","$4,997.2",140,,,,,,9294.5
Southern Severe Weather (March 2000),Severe Storm,2000-03-28,2000-03-29,"$1,262.7",$690.0,0,,,,,,1262.7
South Florida Flooding (October 2000),Flooding,2000-10-03,2000-10-04,"$1,620.0",$900.0,3,,,,,,1620
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001-04-06,2001-04-11,"$5,508.7","$3,094.8",3,,,,,,5508.7
North Central Severe Weather (May 2001),Severe Storm,2001-04-30,2001-05-01,"$1,194.3",$671.0,0,,,,,,1194.3
Tropical Storm Allison (June 2001),Tropical Cyclone,2001-06-05,2001-06-17,"$14,998.7","$8,522.0",43,,,,,,14998.7
U.S. Drought (Spring-Fall 2002),Drought,2002-03-01,2002-11-30,"$15,941.5","$9,006.4",0,,,,,,15941.5
Severe Storms and Tornadoes (April 2002),Severe Storm,2002-04-27,2002-04-28,"$3,663.9","$2,093.8",7,,,,,,3663.9
Hurricane Lili (October 2002),Tropical Cyclone,2002-08-01,2002-08-05,"$1,921.9","$1,104.5",2,,,,,,1921.9
Western Fire Season (Fall 2002),Wildfire,2002-09-01,2002-11-30,"$2,301.8","$1,322.8",21,,,,,,2301.8
Tropical Storm Isidore (September 2002),Tropical Cyclone,2002-09-25,2002-09-27,"$2,001.0","$1,150.0",5,,,,,,2001
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002-11-09,2002-11-11,"$1,245.6",$720.0,28,,,,,,1245.6
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,2003-03-01,2003-11-30,"$8,680.8","$5,017.7",35,,,,,,8680.8
Severe Storms/Hail (April 2003),Severe Storm,2003-04-04,2003-04-07,"$3,430.8","$2,006.3",3,,,,,,3430.8
Severe Storms/Tornadoes (May 2003),Severe Storm,2003-05-03,2003-05-10,"$7,059.5","$4,128.4",51,,,,,,7059.5
Midwest/Plains Severe Weather (July 2003),Severe Storm,2003-07-04,2003-07-09,"$1,467.3",$858.1,7,,,,,,1467.3
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,2003-07-21,2003-07-23,"$1,723.9","$1,008.2",7,,,,,,1723.9
California Wildfires (Fall 2003),Wildfire,2003-09-01,2003-11-30,"$6,613.7","$3,890.4",22,,,,,,6613.7
Hurricane Isabel (September 2003),Tropical Cyclone,2003-09-18,2003-09-19,"$9,322.9","$5,484.0",55,,,,,,9322.9
